,Name,Sex,Total_national_count,Year,State,State_count,Percentage,text
5549692,Olivia,F,19807.0,2014.0,CT,257.0,1.3,Olivia<br>CT<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 1.3
5549693,Olivia,F,19807.0,2014.0,DC,50.0,0.25,Olivia<br>DC<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 0.25
5549694,Olivia,F,19807.0,2014.0,DE,52.0,0.26,Olivia<br>DE<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 0.26
5549705,Olivia,F,19807.0,2014.0,MA,443.0,2.24,Olivia<br>MA<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 2.24
5549706,Olivia,F,19807.0,2014.0,MD,348.0,1.76,Olivia<br>MD<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 1.76
5549716,Olivia,F,19807.0,2014.0,NH,85.0,0.43,Olivia<br>NH<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 0.43
5549717,Olivia,F,19807.0,2014.0,NJ,531.0,2.68,Olivia<br>NJ<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 2.68
5549720,Olivia,F,19807.0,2014.0,NY,1255.0,6.34,Olivia<br>NY<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 6.34
5549724,Olivia,F,19807.0,2014.0,PA,785.0,3.96,Olivia<br>PA<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 3.96
5549725,Olivia,F,19807.0,2014.0,RI,87.0,0.44,Olivia<br>RI<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 0.44
5549731,Olivia,F,19807.0,2014.0,VA,540.0,2.73,Olivia<br>VA<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 2.73
5549732,Olivia,F,19807.0,2014.0,VT,40.0,0.2,Olivia<br>VT<br>National baby count with the name: Olivia<br>19807.0<br>Percentage of total baby count: 0.2
5644372,Olivia,F,19691.0,2015.0,CT,202.0,1.03,Olivia<br>CT<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 1.03
5644373,Olivia,F,19691.0,2015.0,DC,41.0,0.21,Olivia<br>DC<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 0.21
5644374,Olivia,F,19691.0,2015.0,DE,59.0,0.3,Olivia<br>DE<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 0.3
5644385,Olivia,F,19691.0,2015.0,MA,430.0,2.18,Olivia<br>MA<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 2.18
5644386,Olivia,F,19691.0,2015.0,MD,321.0,1.63,Olivia<br>MD<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 1.63
5644396,Olivia,F,19691.0,2015.0,NH,91.0,0.46,Olivia<br>NH<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 0.46
5644397,Olivia,F,19691.0,2015.0,NJ,504.0,2.56,Olivia<br>NJ<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 2.56
5644400,Olivia,F,19691.0,2015.0,NY,1297.0,6.59,Olivia<br>NY<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 6.59
5644404,Olivia,F,19691.0,2015.0,PA,784.0,3.98,Olivia<br>PA<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 3.98
5644405,Olivia,F,19691.0,2015.0,RI,83.0,0.42,Olivia<br>RI<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 0.42
5644411,Olivia,F,19691.0,2015.0,VA,461.0,2.34,Olivia<br>VA<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 2.34
5644412,Olivia,F,19691.0,2015.0,VT,24.0,0.12,Olivia<br>VT<br>National baby count with the name: Olivia<br>19691.0<br>Percentage of total baby count: 0.12
5739474,Olivia,F,19365.0,2016.0,CT,210.0,1.08,Olivia<br>CT<br>National baby count with the name: Olivia<br>19365.0<br>Percentage of total baby count: 1.08
5739475,Olivia,F,19365.0,2016.0,DC,44.0,0.23,Olivia<br>DC<br>National baby count with the name: Olivia<br>19365.0<br>Percentage of total baby count: 0.23
5739476,Olivia,F,19365.0,2016.0,DE,66.0,0.34,Olivia<br>DE<br>National baby count with the name: Olivia<br>19365.0<br>Percentage of total baby count: 0.34
5739487,Olivia,F,19365.0,2016.0,MA,424.0,2.19,Olivia<br>MA<br>National baby count with the name: Olivia<br>19365.0<br>Percentage of total baby count: 2.19
5739488,Olivia,F,19365.0,2016.0,MD,299.0,1.54,Olivia<br>MD<br>National baby count with the name: Olivia<br>19365.0<br>Percentage of total baby count: 1.54
